,Full_OLS_RMSE_test,Full_OLS_RMSE_test_without_CP,Full_OLS_RMSE_train,Full_OLS_RMSE_train_without_CP,Full_RF_RMSE_test,Full_RF_RMSE_test_without_CP,Full_RF_RMSE_train,Full_RF_RMSE_train_without_CP
0,11.099377572487546,11.100055134399172,11.4648985394274,11.465100156307447,11.004923375580134,11.009188086098485,11.20424604365036,11.21202419124792
1,11.270392908807837,11.271073879450213,11.422881469271264,11.42290960974281,11.169487102742842,11.175147896781102,11.132365508385432,11.211877564251045
2,11.542301747197275,11.541708431416925,11.354265092060473,11.35477202727334,11.437979529470272,11.443827533953277,11.059130166731316,11.052193042815547
3,11.23161388688022,11.232500884931039,11.432530978887021,11.432610013116907,11.14408186167237,11.142626669186619,11.13508077894948,11.208654741059236
4,11.478668333152264,11.478405125220414,11.370547411732117,11.370975411883416,11.34509817503636,11.348817172699365,11.078514638120124,11.073762650507561
5,11.218428323643206,11.218667522002319,11.435530286439539,11.435849579680914,11.13502642645059,11.13695666373034,11.137224889347669,11.18460947682867
6,11.516621153766959,11.517424131300706,11.361310709873887,11.361452595495678,11.399706175642846,11.398740428831578,11.12356394995223,11.119812980266225
7,11.455366442728414,11.456045681649416,11.376484996865354,11.376683964001542,11.34397848866859,11.341716266517704,11.176631908596418,11.17069995006128
8,11.491225072863019,11.49047694767691,11.368001041045504,11.368521715901348,11.40425548919929,11.405233754009036,11.04439642652456,11.04691716232174
9,11.193610935006358,11.194173209303573,11.441739381607196,11.441753562861834,11.079333139119921,11.083678596710731,11.144366984898372,11.13940433753903
10,11.645044324663875,11.6458081470432,11.328260180928387,11.328428439535676,11.54385684998946,11.546412336091903,11.038075605614887,11.077933019929139
11,11.374951517811619,11.374314405781535,11.397486505879066,11.397995105804515,11.285759270551134,11.286602362379384,11.099480964898454,11.089123571803706
12,11.706760188345603,11.703969082766964,11.31249841897672,11.31340933890533,11.593749172977017,11.600368833120607,11.017565014018937,11.013939839708529
13,11.340586269736798,11.341403837613433,11.405253833267778,11.405307258415752,11.250034345460705,11.257348381888509,11.10498496383773,11.193146605498272
14,11.152192690972951,11.153043439751762,11.452095665323247,11.452170417538891,11.080592868248933,11.082068723309456,11.12102583237528,11.138174072934236
15,11.636333963575495,11.637092870564224,11.330434477536535,11.330607560255938,11.515088561421107,11.509130509831229,11.037508529682157,11.03099538867648
16,11.728217071047306,11.727410640464496,11.306678643439655,11.307236966480268,11.608102054443794,11.612483235467353,11.019788428897009,11.062669811949865
17,11.397224782933554,11.39697740080121,11.39114232481487,11.39157456842709,11.318127236707406,11.316991720098647,11.119770177516115,11.122763337064253
18,11.374680956301123,11.372926113960034,11.396744386936522,11.397466485309822,11.27076805114121,11.279967270061988,11.099141383693423,11.171003967450726
19,11.22107512618571,11.21733789740346,11.434727417845284,11.435766139837252,11.145269599259514,11.152886467394742,11.128011764552248,11.124878743741062
20,11.371287682136007,11.37208799490657,11.39809107843753,11.398141067521701,11.255873670912322,11.261850938630218,11.106467791817481,11.182715052730286
21,11.288307543635634,11.28362586151815,11.418211122264227,11.419404758166722,11.164612587681633,11.172187466262473,11.204038163160327,11.214836498122395
22,11.479925084730832,11.480531212926504,11.370069384358105,11.370291084241762,11.37425997887179,11.386225557238467,11.078444100066596,11.123180808816405
23,11.334021923738318,11.333993942385822,11.406638926809274,11.407023369857255,11.235499219574056,11.234888425436788,11.184630843709883,11.187050747415217
24,11.271701563631533,11.272460304576454,11.422469329870891,11.422647344695408,11.179331860042767,11.18566854392167,11.122634312812446,11.208382188842393
25,11.56271517339184,11.562881251155819,11.349255165662326,11.349599997257995,11.473655074208283,11.475532804218904,11.12403111896791,11.126020599894318
26,11.34300398859905,11.343542854472494,11.404593811134571,11.404836557088702,11.240552288931621,11.244139860408458,11.084683126555618,11.08827248849118
27,11.466270605010973,11.466973085890288,11.373623737804811,11.373808193496243,11.374687024394436,11.374310905947068,11.076379375898753,11.167602273557504
28,11.434183959340418,11.434903064145812,11.382121608778851,11.382154628594774,11.353359527418686,11.34332423629991,11.118698467032416,11.161825892162597
29,11.2887693647213,11.289440537661186,11.417946802446167,11.418145553771485,11.190818028485742,11.196063918956693,11.121636654268599,11.111420319334389
30,11.523645680101756,11.523361807791318,11.359365658368446,11.35980545659756,11.427002678437194,11.42565193417798,11.061602517010346,11.138216431522352
31,11.507637843552065,11.50641840624617,11.363367735800747,11.36399323186947,11.415506818902598,11.4155929960861,11.098151945475546,11.112288689039502
32,11.359870741681688,11.36071248767437,11.400399745247293,11.400494694545745,11.282542164965665,11.276034474260637,11.097152476524993,11.175627754267438
33,11.205633081780382,11.205915790985626,11.438766480136536,11.439075153610661,11.088741632326933,11.091272021803826,11.223390595663622,11.227028166100041
34,11.20338256458691,11.20395865778935,11.43916806069641,11.439396903374524,11.0853455474733,11.080711545385652,11.145831557252738,11.231697064146546
35,11.597730455204395,11.592549257175039,11.340657336169304,11.341946309756258,11.474971482575025,11.47134252719644,11.048899886703529,11.135615700979272
36,11.40319992085071,11.403283000348003,11.389426585578661,11.389787824376352,11.284898726514035,11.284396900120232,11.15245130060792,11.14660419829115
37,11.443566289520636,11.443364748501683,11.379376814941086,11.379802230914184,11.344401022021758,11.344142195680433,11.154905996651387,11.152041264101426
38,11.316862762513729,11.317759609966934,11.411285722194817,11.411370406417824,11.193463640818942,11.199428458756223,11.121962792718048,11.097818507040804
39,11.19998750272181,11.19992034416894,11.440095260753905,11.440488539280034,11.11633312124239,11.119237512866095,11.140563643559094,11.132199072238896
40,11.299404130557267,11.299196677608869,11.41551575145967,11.415938047872983,11.194354500128856,11.195133789863839,11.120384455389638,11.112414733246005
41,11.37040684644876,11.371123234194433,11.397683666380239,11.397864638960389,11.266911783918973,11.263688157753288,11.102770241093209,11.15005839891677
42,11.521164578491765,11.521212836542055,11.359635403151055,11.360002454620641,11.434291350291534,11.442829995398599,11.061732343013215,11.05509092261849
43,11.179904563020976,11.180509124251056,11.444975596304094,11.445202599670388,11.058941748855682,11.05834726657774,11.191371795006837,11.20151503871618
44,11.396882154307935,11.397693344264782,11.391048581596163,11.391184001321289,11.314758284531901,11.325031703720573,11.086152126909285,11.078791846667274
45,11.21492944803396,11.214579458980527,11.436143125721953,11.436593842948204,11.13674218124712,11.117182277243348,11.190140179543132,11.212559630317589
46,11.73573956421297,11.736111204126045,11.3049740816748,11.305265393005111,11.612833092810034,11.617191784684588,11.01919721534519,11.008903564315657
47,11.556755538905978,11.555690379231631,11.35092559332679,11.351520858143612,11.45151845855506,11.467423407478313,11.054308418609773,11.091038934466336
48,11.276463428465519,11.277165832418866,11.421024172488437,11.42122546585995,11.174882999283373,11.183343925560733,11.12030433044244,11.114761485816304
49,11.525300698582942,11.52468622711619,11.35936761730241,11.359872109998763,11.422524897937208,11.419546294099892,11.061384098822856,11.141078187833392
