,Full_OLS_RMSE_test,Full_OLS_RMSE_test_without_CP,Full_OLS_RMSE_train,Full_OLS_RMSE_train_without_CP,Full_RF_RMSE_test,Full_RF_RMSE_test_without_CP,Full_RF_RMSE_train,Full_RF_RMSE_train_without_CP
0,11.380866382027591,11.378745737766014,11.395055783178321,11.39584062358966,11.308927805377474,11.305198527747987,11.08904677770097,11.140854886788683
1,11.489004183901718,11.487571602151334,11.368504884994667,11.369165895794843,11.38362244470925,11.380373232812588,11.146439007987057,11.148200504494225
2,11.26591458493087,11.266440949442178,11.423508091196286,11.423755843989452,11.173318499853751,11.173087505580098,11.177573946740523,11.171323171272844
3,11.408948106590968,11.408537033382737,11.388152931730959,11.388621266506647,11.313492615882476,11.32152772532483,11.085267835221027,11.077835235997286
4,11.328062759632065,11.328542981009836,11.40864493163738,11.408907470680834,11.262964363632006,11.262108013892558,11.102195497968172,11.09644723228876
5,11.52013280048065,11.520883962710936,11.360076547831767,11.360248990329875,11.434140122068946,11.438079861893188,11.056090984583898,11.049674274068554
6,11.158129085085694,11.158507664133031,11.450485969624818,11.450772097811647,11.091378898977855,11.086552080020173,11.183393003154622,11.185390484724905
7,11.238452375271159,11.23914062430385,11.430345631062398,11.430542412137534,11.165943122322979,11.169709641971835,11.12696031146088,11.202317198940118
8,11.227429040013588,11.2281894643907,11.433084920623442,11.43311914831966,11.11110215489149,11.117108543822868,11.143147508162112,11.135949915287917
9,11.561335593546586,11.561654659054593,11.349893521611978,11.3502024764276,11.468151371149997,11.468296157860136,11.046809651489292,11.043261564100431
10,11.044273913086995,11.045123058225284,11.477822826980422,11.477868968064785,10.98057867631931,10.988188106845543,11.169005686402455,11.161367743514164
11,11.482362753759345,11.482845137416426,11.369848900741596,11.370105853484382,11.409257587540617,11.409977631964436,11.072794281296407,11.063006958658189
12,11.29280247247138,11.292801242321866,11.416957974869602,11.417338370950684,11.174530707701832,11.174918559129228,11.122826477057567,11.202534596818603
13,11.007759051018443,11.008463647307265,11.4863269077158,11.486521439770952,10.895194423629773,10.901272327412102,11.19161721078797,11.185967734053943
14,11.70379613810802,11.702020907765649,11.313689408566876,11.314383797774195,11.612333011591284,11.619856807860472,11.02073835733888,11.051642837478385
15,11.156891221330085,11.15627399580943,11.45050339064783,11.4510038844267,11.052657046596876,11.053402741336427,11.209561324116338,11.244118052633867
16,11.557083344043699,11.557860563876494,11.350705820033426,11.350851643946886,11.46159595291165,11.464622372721461,11.146352502203014,11.139849488657402
17,11.317304711736396,11.318129210893071,11.410851610504563,11.410984433504712,11.218024294325211,11.220650720411244,11.11233194500533,11.104408155924931
18,11.43062788064312,11.431142329466361,11.38268745344336,11.382937520259182,11.326866927881563,11.331308260420359,11.089785477288473,11.163736692305067
19,11.251480589741226,11.25046742328647,11.427348263513114,11.427924922776416,11.131739234137049,11.140058099028751,11.233885507480661,11.245027447345702
20,11.308140088402522,11.3078981522171,11.41340271055874,11.41383133949769,11.21235636678637,11.21642999676633,11.114686916669639,11.103462411240267
21,11.329031459866153,11.328723804579159,11.408004532408428,11.40844845237923,11.232028521435675,11.232898086062077,11.18933734824246,11.16541233585762
22,11.435086908318743,11.43376253189304,11.381912539955016,11.382552590754427,11.317675983681609,11.323624409079251,11.089707970296327,11.141124671767056
23,11.514232873382054,11.514958061475365,11.36151911348596,11.36169285366233,11.434903376521458,11.42837553687484,11.100058833581587,11.136142125577763
24,11.412662921076356,11.41349101237745,11.38729368280995,11.38741348175782,11.371893419281472,11.378506106434445,11.07328915371602,11.064391658605512
25,11.367065161725431,11.366644166180054,11.398687639392527,11.399152870075033,11.26279334076263,11.261746760976488,11.15601234332276,11.192068805136014
26,11.218924067480856,11.219819502990358,11.435239180960057,11.435316162542964,11.115072253803145,11.119821542653881,11.218851351934028,11.22940320210311
27,10.956117857451341,10.951384849604336,11.499076737309117,11.500235854892937,10.866313578582577,10.865397038242707,11.194634408415379,11.244623600033743
28,11.290405433205468,11.290188571130317,11.417484561018965,11.417906715132464,11.211275660553744,11.218729455857599,11.111174069428802,11.105707809127164
29,11.20762986105237,11.207482480950924,11.4380001973373,11.438408109856365,11.113081159211974,11.114810360710816,11.138302540794365,11.130594391310943
30,11.52982759221023,11.530666546958441,11.357557425021014,11.357652541602572,11.469948636743851,11.464855309638669,11.053219667154744,11.131800134890378
31,11.358588460001956,11.356814132486933,11.400731743158518,11.401449568151769,11.258462524590223,11.259286708688435,11.103503328685289,11.19140517628563
32,11.439064033043529,11.43742911210671,11.380409375927252,11.381083503079736,11.372551923820907,11.37084988262138,11.112493254661604,11.111897696205812
33,11.350628492250383,11.351031081909996,11.402793890902794,11.40307632484376,11.221194056218902,11.219491267496563,11.18946610866852,11.109679922394486
34,11.220139552458102,11.220960525103223,11.434960829218209,11.435097846238849,11.116634725462292,11.124012832521494,11.138352210096032,11.18526805481944
35,11.32546734100439,11.324556340988062,11.409018580078337,11.409580160380417,11.24351555581956,11.244702096253823,11.083466435152134,11.101548915910142
36,11.40906502620601,11.409718174843963,11.387965579651388,11.388178762589504,11.312046180629775,11.322129862745745,11.091768167891805,11.113205191379896
37,11.445959758172906,11.446033678665945,11.378859524847075,11.379225506424985,11.351627259226257,11.349623453322092,11.138077306900657,11.130406664079377
38,11.810197110835144,11.808379146475222,11.285547979706728,11.28629015238293,11.693536279095133,11.700392162706331,10.992228186775966,11.024505277763563
39,11.42972679850407,11.429123127407056,11.382964645990675,11.383471852481346,11.344152350075484,11.343200418216,11.085821090488443,11.075719620208782
40,11.636307992798432,11.637121418165421,11.330591452475522,11.33069859711338,11.576402580383855,11.579968729709863,11.024266998640206,11.070979713812772
41,11.542701189789549,11.543435420718799,11.35419612726051,11.35437134281941,11.456848944187861,11.457131650476684,11.054641071888302,11.131913356536602
42,11.408245952402291,11.403391201106826,11.388553326819544,11.389767293611342,11.297386730566817,11.30380897697258,11.093225104912113,11.143075815603954
43,11.329837279193335,11.330718512859647,11.408029873864614,11.40812563793345,11.26047681702669,11.261065076968874,11.183560369930127,11.183819353385033
44,11.245579155621595,11.244689590921158,11.428747162394588,11.429299827472303,11.156569061109916,11.150343401305777,11.131344731213831,11.212393855466312
45,11.513195454637023,11.51359493983293,11.361942383943866,11.362223638410875,11.410686838620807,11.421883465750518,11.068515880180886,11.111123681925523
46,11.649218718834371,11.648466499069594,11.32740609324923,11.32794621851965,11.539918078072448,11.541019678106283,11.130350485595997,11.125330663606857
47,11.352366317606686,11.351911992096246,11.40235325988611,11.402826285762726,11.262247863185431,11.254229981773078,11.165497397526677,11.184654129683265
48,11.376071461538944,11.376881102383372,11.396338548026359,11.396475333139238,11.273448846660905,11.275631658008022,11.138819696860722,11.144035218866675
49,11.668796558804619,11.667061185409992,11.322359371880841,11.323081845548018,11.5835696135201,11.591475558073634,11.023569715386456,11.01623578657349
