,Full_OLS_RMSE_test,Full_OLS_RMSE_train,Full_RF_RMSE_test,Full_RF_RMSE_train,Proposed_OLS_RMSE_test,Proposed_OLS_RMSE_train,Proposed_RF_RMSE_test,Proposed_RF_RMSE_train,Restricted_OLS_RMSE_test,Restricted_OLS_RMSE_train,Restricted_RF_RMSE_test,Restricted_RF_RMSE_train
0,14.241327765371723,14.130566024954375,14.06248394763006,13.55216734346934,14.34731662657487,14.263003250397116,14.144669283600638,13.811326501851065,14.320129617167686,14.254701402311307,14.11999162121692,13.798073107504953
1,14.546044566619212,14.053782751483539,14.365143025348175,13.620114292638046,14.67358346382317,14.171568077334515,14.502775655883733,13.785553775033037,14.685449261881761,14.162310650432344,14.492267204986048,13.689075564599154
2,14.147532014403644,14.154928515316616,13.856676100893019,13.740978791891044,14.21618406995888,14.288651554879959,13.93504724180404,13.929254220806834,14.216952799909382,14.28109874466149,13.93206990818917,13.842012590084174
3,14.45551589199733,14.076917568045259,14.255172030940257,13.62504272107943,14.592742482443251,14.205408149279021,14.283589654586505,13.829497836035333,14.56475866201876,14.193116766365456,14.26069053978635,13.78140057017561
4,13.799552028024502,14.240235500577382,13.643354770598103,13.640404792579982,13.935533377864338,14.363827575201164,13.727598601356336,13.878917873880182,13.914677992352688,14.354944851624364,13.731008264244972,13.90195441526767
5,14.097575886311127,14.169014709120068,13.900026670807268,13.768935760895436,14.184576089623276,14.306124697372347,13.981371544711703,13.969582010160773,14.158498647659686,14.296171303341566,13.955709699349406,13.839224939868897
6,14.193695025701853,14.144848764895816,13.966383920227761,13.712224364685918,14.344961888483919,14.27478797092707,14.109610372891709,13.896755600577931,14.283613660761139,14.266270983969616,14.089861633608992,13.80685677827659
7,14.110824327365883,14.164899026193435,13.954756840721984,13.57008602486189,14.173769510546084,14.301322949082326,13.997155681599288,13.836537389620842,14.187507572994605,14.289489424626078,14.0089712474196,13.834745553932239
8,14.107855398423364,14.163610304295338,13.919299098850578,13.585969368784772,14.16232193128698,14.304584614429634,13.980212089551287,13.84024586673365,14.157348556016947,14.294997102696996,13.93222275356497,13.83930305100305
9,14.533576901277984,14.056450539196598,14.28998960830179,13.637876932287762,14.616976857014532,14.18804489641102,14.400418744257735,13.811193525849319,14.613660923724872,14.180729322371123,14.417607938604112,13.717261522412679
10,14.0096739291737,14.189526709006282,13.797440870978297,13.738617962245451,14.15196537638217,14.31225067124547,13.931912915870543,13.91876799121362,14.128968339087736,14.30363698712489,13.91496850094153,13.864441164024258
11,14.452689193497642,14.07846308954762,14.123368312387418,13.659058497088983,14.551237930562634,14.20472022883808,14.229671064181982,13.841068979438553,14.564786662330034,14.193249654470195,14.241504872409346,13.739021264443087
