,Full_OLS_RMSE_test,Full_OLS_RMSE_train,Full_RF_RMSE_test,Full_RF_RMSE_train,Proposed_OLS_RMSE_test,Proposed_OLS_RMSE_train,Proposed_RF_RMSE_test,Proposed_RF_RMSE_train,Restricted_OLS_RMSE_test,Restricted_OLS_RMSE_train,Restricted_RF_RMSE_test,Restricted_RF_RMSE_train
0,11.775692340741017,11.294812059911031,11.717095687934803,10.983997121829972,11.774021026902377,11.297724850670868,11.721643537993035,11.031665289508762,11.774160606901813,11.297944955132794,11.722439674664454,11.052377159010158
1,11.404452893791973,11.389116149801193,11.34917734258856,11.081476994139237,11.406612963067593,11.391002156259816,11.358230994073757,11.12490046577835,11.407461881408514,11.391010175366313,11.3514409924594,11.143283244863515
2,11.30685437155253,11.413745600915647,11.206523868355735,11.189789064111222,11.305974161549406,11.416359290624175,11.217163593020414,11.213770816433533,11.306618655747002,11.416547772683337,11.21448863230544,11.222685308876454
3,11.559561778399647,11.350265895485652,11.445816700675458,11.054927723485664,11.558201154263497,11.352969030596407,11.458273686545805,11.098041076092855,11.558123289042895,11.353374322437757,11.470970255760443,11.119602553710052
4,11.469651818749949,11.373128453964204,11.41174026797511,11.140856425811561,11.474781539233703,11.374215293171435,11.415264418395303,11.164184072158204,11.475045532457576,11.37440894543775,11.417068001196819,11.154863925372497
5,11.190257495782348,11.442115746769613,11.109220103414465,11.21355024342235,11.191505670805167,11.444245284710089,11.10908508528452,11.238188304349858,11.192458139665602,11.444349134777251,11.113645039551088,11.242295817677086
6,11.369104887979816,11.398804076019003,11.271902153059216,11.176494491268233,11.372181614255258,11.40064904085559,11.284653098391178,11.197212336268468,11.37246191450293,11.400754252086907,11.287518671068261,11.185213568578291
7,11.599210308809,11.33983763047438,11.494065804862228,11.04485981062466,11.59904382367919,11.342367070227239,11.506830864963986,11.088596295452547,11.599648570378454,11.34249580258444,11.504259834138718,11.132356889269602
8,11.380108851371988,11.39543426263059,11.265382947887861,11.104891159127867,11.382704169787612,11.397280999385288,11.26925680184807,11.15098918778063,11.382135962147212,11.39770244483397,11.269640743600938,11.20651384523916
9,11.410212261704526,11.38769044342638,11.338969872851541,11.124836725912262,11.409209930898086,11.390370995603703,11.343250307040991,11.171585027658036,11.40955560798237,11.390601500116993,11.342405838909674,11.15406802365656
10,11.046700205323257,11.476895935012916,10.976469091995282,11.16782357556124,11.048953366990107,11.478865320067229,10.985449975339224,11.21369160713681,11.049606453343266,11.478928526618828,10.984543530688955,11.255155581351774
11,11.611426968346667,11.33695258179632,11.527996198104065,11.041533912584939,11.612198877710558,11.339233426673323,11.52906949116262,11.082543865020563,11.61292829615473,11.339359422711931,11.539346044585399,11.052118371508518
12,11.609620387422412,11.337295969992512,11.494539854416802,11.047476459999505,11.611399505754052,11.33926665234953,11.503210716628052,11.092006778804038,11.612141120573153,11.339475523533183,11.505146671629186,11.135943753220852
13,11.349765823723175,11.402772608661953,11.256732441717768,11.10488280774679,11.349816607412578,11.40529027950211,11.262019213237457,11.150711093198584,11.34978135751428,11.40554753721805,11.270816089224036,11.192957678609627
